Feature,Q1,Q2,Q3
tau1,2.8748915690490775,5.250003871926565,7.624689704807308
tau2,2.8751400074624502,5.249981261165705,7.624893124571406
tau3,2.875521683934265,5.249978586564115,7.6249482676273725
tau4,2.874950181227275,5.249734121200991,7.624837729974363
p1,3.2182997912410802,3.751025437294685,4.282420204786693
p2,-1.6249014915933726,-1.24996629085586,-0.8749770862007948
p3,-1.62502529996434,-1.2499743078644001,-0.8750431172845773
p4,-1.62495953866691,-1.2500072748731101,-0.8750646635400275
g1,0.287521377456071,0.5250091478346385,0.762434853992323
g2,0.28755163546020446,0.5250031470219095,0.7624903123990713
g3,0.28751364266080875,0.525014693295651,0.7624402156634433
g4,0.287494443019348,0.5250016343759885,0.7624329890946853
