tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4
1.0,0.01558572115909877,-0.0059696065257863725,-0.01726528878279507,0.02718336229141999,-0.015485307606710916,-0.01592376695900426,-0.01580706619610499,0.01052112790438798,0.015349831000928526,-0.0012786580192835307,0.005493872924062175
0.01558572115909877,1.0,0.014273413777303911,-0.00196471578056552,-0.00476905153427601,0.006573471782202395,0.007672768490676168,-0.005962636142021591,-0.001742366704484597,0.015383308395513032,0.01650846365973814,-0.011764008490109149
-0.0059696065257863725,0.014273413777303911,1.0,0.00435433632494185,0.016952596070041317,-0.0031342610720036406,-0.008780459157181801,-0.017531089382532495,-0.011605048169206857,0.007671386041452113,0.014701705785720628,-0.011497448102988632
-0.01726528878279507,-0.00196471578056552,0.00435433632494185,1.0,-0.003172580835185447,0.010552962574757357,0.006168721505814689,-0.011211067946166374,-0.004148927283289374,0.008431088318604812,0.0032598571969684902,-0.0004908815366703674
0.02718336229141999,-0.00476905153427601,0.016952596070041317,-0.003172580835185447,1.0,-0.5731566654640483,-0.5845542833172863,-0.5792390390537819,0.0007205179965597443,0.015404606542133633,0.0010693018456673516,-0.015450752494803861
-0.015485307606710916,0.006573471782202395,-0.0031342610720036406,0.010552962574757357,-0.5731566654640483,1.0,0.0023884243048724824,-0.006843659055523706,0.015603017043057298,-0.018032104362252888,0.007555051980235573,0.019817003988304632
-0.01592376695900426,0.007672768490676168,-0.008780459157181801,0.006168721505814689,-0.5845542833172863,0.0023884243048724824,1.0,0.012952864870951044,-0.0032189250878608532,-0.011574892632346618,-0.0058972883335808865,-0.01048524996576292
-0.01580706619610499,-0.005962636142021591,-0.017531089382532495,-0.011211067946166374,-0.5792390390537819,-0.006843659055523706,0.012952864870951044,1.0,-0.013635589685952534,0.0028499633898219933,-0.0035150835099971235,0.017505438591267224
0.01052112790438798,-0.001742366704484597,-0.011605048169206857,-0.004148927283289374,0.0007205179965597443,0.015603017043057298,-0.0032189250878608532,-0.013635589685952534,1.0,0.007559017541727433,-0.005836219030585647,0.012430613339695728
0.015349831000928526,0.015383308395513032,0.007671386041452113,0.008431088318604812,0.015404606542133633,-0.018032104362252888,-0.011574892632346618,0.0028499633898219933,0.007559017541727433,1.0,-0.01280899465415065,-0.014909362150260296
-0.0012786580192835307,0.01650846365973814,0.014701705785720628,0.0032598571969684902,0.0010693018456673516,0.007555051980235573,-0.0058972883335808865,-0.0035150835099971235,-0.005836219030585647,-0.01280899465415065,1.0,0.006900184688414263
0.005493872924062175,-0.011764008490109149,-0.011497448102988632,-0.0004908815366703674,-0.015450752494803861,0.019817003988304632,-0.01048524996576292,0.017505438591267224,0.012430613339695728,-0.014909362150260296,0.006900184688414263,1.0
